"Sample","Dilution","Count","CFU_Count","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"ZH_1","N3",NA,NA,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N3",NA,NA,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N3",NA,NA,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_1","N3.1",NA,NA,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N3.1",NA,NA,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N3.1",NA,NA,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_1","N3.2",NA,NA,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N3.2",NA,NA,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N3.2",NA,NA,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_1","N4",22,4400000,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N4",22,4400000,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N4",22,4400000,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_1","N4.1",23,4600000,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N4.1",23,4600000,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N4.1",23,4600000,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_1","N4.2",29,5800000,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N4.2",29,5800000,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N4.2",29,5800000,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_1","N5",NA,NA,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N5",NA,NA,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N5",NA,NA,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_1","N5.1",NA,NA,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N5.1",NA,NA,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N5.1",NA,NA,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_1","N5.2",NA,NA,"27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"ZH_1","N5.2",NA,NA,"26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"ZH_1","N5.2",NA,NA,"26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"ZH_2","N3",NA,NA,"24.605247453491543",32.6409436698643,11381082.1721981,"20241015","ZH"
"ZH_2","N3",NA,NA,"24.710212067790657",30.684053350661,10698763.3719181,"20241015","ZH"
"ZH_2","N3",NA,NA,"24.902752023234335",27.3943472381689,9551724.97844104,"20241015","ZH"
"ZH_2","N3.1",NA,NA,"24.605247453491543",32.6409436698643,11381082.1721981,"20241015","ZH"
"ZH_2","N3.1",NA,NA,"24.710212067790657",30.684053350661,10698763.3719181,"20241015","ZH"
"ZH_2","N3.1",NA,NA,"24.902752023234335",27.3943472381689,9551724.97844104,"20241015","ZH"
"ZH_2","N3.2",NA,NA,"24.605247453491543",32.6409436698643,11381082.1721981,"20241015","ZH"
"ZH_2","N3.2",NA,NA,"24.710212067790657",30.684053350661,10698763.3719181,"20241015","ZH"
"ZH_2","N3.2",NA,NA,"24.902752023234335",27.3943472381689,9551724.97844104,"20241015","ZH"
"ZH_2","N4",69,13800000,"24.605247453491543",32.6409436698643,11381082.1721981,"20241015","ZH"
"ZH_2","N4",69,13800000,"24.710212067790657",30.684053350661,10698763.3719181,"20241015","ZH"
"ZH_2","N4",69,13800000,"24.902752023234335",27.3943472381689,9551724.97844104,"20241015","ZH"
"ZH_2","N4.1",86,17200000,"24.605247453491543",32.6409436698643,11381082.1721981,"20241015","ZH"
"ZH_2","N4.1",86,17200000,"24.710212067790657",30.684053350661,10698763.3719181,"20241015","ZH"
"ZH_2","N4.1",86,17200000,"24.902752023234335",27.3943472381689,9551724.97844104,"20241015","ZH"
"ZH_2","N4.2",NA,NA,"24.605247453491543",32.6409436698643,11381082.1721981,"20241015","ZH"
"ZH_2","N4.2",NA,NA,"24.710212067790657",30.684053350661,10698763.3719181,"20241015","ZH"
"ZH_2","N4.2",NA,NA,"24.902752023234335",27.3943472381689,9551724.97844104,"20241015","ZH"
"ZH_2","N5",NA,NA,"24.605247453491543",32.6409436698643,11381082.1721981,"20241015","ZH"
"ZH_2","N5",NA,NA,"24.710212067790657",30.684053350661,10698763.3719181,"20241015","ZH"
