"Sample","Dilution","Count","CFU_Count","Date_Collected","Collected_By","Experiment_ID","Date_Plated","Date_Read","MTB_Strain_Type","Strain_Modifications","Infection_Route","Mouse_Type","Treatment","Organ_Tissue","Sample_Storage","Preprocessing","Tissue_Homogenization_Method","Timepoint_dpi","Log_Dilution_Factor","Media","Media_Additive","Plate_Type","Spreading_Method","Total_Plates","Number_of_Replicates","Volume_Per_Plate_uL"
"AM_10925_1","N2",33,66000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_1","N2.1",33,66000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_1","N2.2",28,56000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_2","N2",15,30000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_2","N2.1",21,42000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_2","N2.2",NA,NA,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_3","N2",25,50000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_3","N2.1",22,44000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_3","N2.2",30,60000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
"AM_10925_4","N2",33,66000,"20250109","AM","AM_121324","Thursday,_January_9,_2025","Monday,_January_27,_2025","H37Rv","pMV261-ZsGreen","aerosol","B6_and_6T","none","Lung","plated_fresh","single_cell_suspension_diluted_in_PBS-Tween","GentleMACS",27,"10^-2","HBSS_+_PBS","FBS,_EDTA,_Liberase,_DNase","12_well","rotation",5,3,50
