"Sample","Dilution","Count","CFU_Count","Date_Collected","Collected_By","Experiment_ID","Date_Plated","Date_Read","MTB_Strain_Type","Strain_Modifications","Infection_Route","Mouse_Type","Treatment","Organ_Tissue","Sample_Storage","Preprocessing","Tissue_Homogenization_Method","Timepoint_dpi","Log_Dilution_Factor","Media","Media_Additive","Plate_Type","Spreading_Method","Total_Plates","Number_of_Replicates","Volume_Per_Plate_uL"
"PBS_5","N2",14,28000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_5","N2.2",2,4000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_6","N1",70,14000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_6","N1.1",70,14000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_6","N2",6,12000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_6","N2.2",6,12000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_7","N1",75,15000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_7","N1.1",80,16000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_7","N2",9,18000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_7","N2.2",5,10000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_1","N1",160,32000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_1","N1.1",160,32000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_1","N2",19,38000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_1","N2.2",12,24000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_2","N1",91,18200,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_2","N1.1",110,22000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_2","N2",6,12000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_2","N2.2",13,26000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_3","N1",180,36000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_3","N1.1",165,33000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_3","N2",17,34000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_3","N2.2",24,48000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_4","N1",130,26000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_4","N1.1",133,26600,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_4","N2",17,34000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_4","N2.2",15,30000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_5","N1",140,28000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_5","N1.1",133,26600,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_5","N2",18,36000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_5","N2.2",11,22000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_6","N1",150,30000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_6","N1.1",160,32000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_6","N2",16,32000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_6","N2.2",14,28000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_7","N1",NA,NA,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_7","N1.1",NA,NA,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_7","N2",15,30000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_7","N2.2",11,22000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_8","N1",90,18000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"IgG1_8","N1.1",90,18000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
