"Well","Omit","Sample","Target","Dye","Task","Cq","Quantity","CFU_TaqMan"
"A1",FALSE,"AM_21425_1","atpe","VIC","Unknown","36.20871379532511",0.0319810022717702,86977.6212412161
"A2",FALSE,"AM_21425_1","atpe","VIC","Unknown","Undetermined",0,0
"A3",FALSE,"AM_21425_1","atpe","VIC","Unknown","35.72666180084143",0.041476364,112801.826778243
"B4",FALSE,"AM_21425_10","atpe","VIC","Unknown","Undetermined",0,0
"B5",FALSE,"AM_21425_10","atpe","VIC","Unknown","34.67664050056885",0.073070463,198727.200627615
"B6",FALSE,"AM_21425_10","atpe","VIC","Unknown","Undetermined",0,0
"C4",FALSE,"AM_21425_11","atpe","VIC","Unknown","Undetermined",0,0
"C5",FALSE,"AM_21425_11","atpe","VIC","Unknown","38.90967632",0.007451767,20266.3119246862
"C6",FALSE,"AM_21425_11","atpe","VIC","Unknown","39.07442741800963",0.006818211,18543.2516736402
"D4",FALSE,"AM_21425_12","atpe","VIC","Unknown","35.630916137103284",0.0436743748882408,118779.680658395
"D5",FALSE,"AM_21425_12","atpe","VIC","Unknown","35.13255106427597",0.057142105,155407.398535565
"D6",FALSE,"AM_21425_12","atpe","VIC","Unknown","Undetermined",0,0
"E4",FALSE,"AM_21425_13","atpe","VIC","Unknown","36.99845300164209",0.020888894,56810.79958159
"E5",FALSE,"AM_21425_13","atpe","VIC","Unknown","Undetermined",0,0
"E6",FALSE,"AM_21425_13","atpe","VIC","Unknown","35.36517826842508",0.0504044797520282,137083.313133131
"F4",FALSE,"AM_21425_14","atpe","VIC","Unknown","Undetermined",0,0
"F5",FALSE,"AM_21425_14","atpe","VIC","Unknown","Undetermined",0,0
"F6",FALSE,"AM_21425_14","atpe","VIC","Unknown","Undetermined",0,0
"G4",FALSE,"AM_21425_15","atpe","VIC","Unknown","34.15664809582172",0.096724625,263058.603556485
"G5",FALSE,"AM_21425_15","atpe","VIC","Unknown","36.25495954988965",0.0311932165863796,84835.1078709069
"G6",FALSE,"AM_21425_15","atpe","VIC","Unknown","33.857259706957024",0.113674037508701,309155.332136635
"H4",FALSE,"AM_21425_16","atpe","VIC","Unknown","Undetermined",0,0
"H5",FALSE,"AM_21425_16","atpe","VIC","Unknown","38.986433095912425",0.007149586,19444.4807531381
"H6",FALSE,"AM_21425_16","atpe","VIC","Unknown","36.097530581600154",0.033957363,92352.6608786611
"B1",FALSE,"AM_21425_2","atpe","VIC","Unknown","Undetermined",0,0
"B2",FALSE,"AM_21425_2","atpe","VIC","Unknown","Undetermined",0,0
"B3",FALSE,"AM_21425_2","atpe","VIC","Unknown","Undetermined",0,0
"C1",FALSE,"AM_21425_3","atpe","VIC","Unknown","34.863038523953534",0.066081941,179720.760041841
"C2",FALSE,"AM_21425_3","atpe","VIC","Unknown","35.80539823253133",0.039751968,108112.046861925
"C3",FALSE,"AM_21425_3","atpe","VIC","Unknown","35.88865522253283",0.0380064908859208,103364.933371751
"D1",FALSE,"AM_21425_4","atpe","VIC","Unknown","36.506832983800834",0.0272310958187153,74059.4656157528
"D2",FALSE,"AM_21425_4","atpe","VIC","Unknown","Undetermined",0,0
"D3",FALSE,"AM_21425_4","atpe","VIC","Unknown","38.58848372049722",0.00886116,24099.3891213389
"E1",FALSE,"AM_21425_5","atpe","VIC","Unknown","39.78370711353563",0.004650926,12648.9619246862
"E2",FALSE,"AM_21425_5","atpe","VIC","Unknown","37.63643493628851",0.0148075823948277,40271.6676009958
"E3",FALSE,"AM_21425_5","atpe","VIC","Unknown","Undetermined",0,0
"F1",FALSE,"AM_21425_6","atpe","VIC","Unknown","35.540675737164605",0.045852524,124703.517154812
"F2",FALSE,"AM_21425_6","atpe","VIC","Unknown","35.35100443085312",0.050791262,138135.231380753
"F3",FALSE,"AM_21425_6","atpe","VIC","Unknown","Undetermined",0,0
"G1",FALSE,"AM_21425_7","atpe","VIC","Unknown","Undetermined",0,0
"G2",FALSE,"AM_21425_7","atpe","VIC","Unknown","Undetermined",0,0
"G3",FALSE,"AM_21425_7","atpe","VIC","Unknown","Undetermined",0,0
"H1",FALSE,"AM_21425_8","atpe","VIC","Unknown","Undetermined",0,0
"H2",FALSE,"AM_21425_8","atpe","VIC","Unknown","Undetermined",0,0
"H3",FALSE,"AM_21425_8","atpe","VIC","Unknown","Undetermined",0,0
"A4",FALSE,"AM_21425_9","atpe","VIC","Unknown","Undetermined",0,0
"A5",FALSE,"AM_21425_9","atpe","VIC","Unknown","Undetermined",0,0
"A6",FALSE,"AM_21425_9","atpe","VIC","Unknown","Undetermined",0,0
