Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,PBS_1,atpe,VIC,Unknown,32.02010586528141,0.5257424941048948
A2,FALSE,PBS_2,atpe,VIC,Unknown,30.391702903736856,1.4062887284380265
A3,FALSE,PBS_3,atpe,VIC,Unknown,31.941454400759454,0.551330013
A4,FALSE,PBS_4,atpe,VIC,Unknown,31.17430943,0.8764244160631125
A5,FALSE,PBS_5,atpe,VIC,Unknown,30.953772308429528,1.0013469004843891
A6,FALSE,PBS_6,atpe,VIC,Unknown,32.51648539338942,0.38951170119224887
A7,FALSE,PBS_7,atpe,VIC,Unknown,33.13562898616517,0.2679501513089554
A8,FALSE,H2O,atpe,VIC,Negative Control,Undetermined,
A9,FALSE,DNASD_4,atpe,VIC,Standard,20.65110883817561,589.3353141
A10,FALSE,DNASD_4,atpe,VIC,Standard,20.292632420683766,589.3353141
A11,FALSE,DNASD_4,atpe,VIC,Standard,20.75576235194763,589.3353141
B1,FALSE,PBS_1,atpe,VIC,Unknown,31.848125127879207,0.5833130893135332
B2,FALSE,PBS_2,atpe,VIC,Unknown,30.72613647296064,1.1489930088475893
B3,FALSE,PBS_3,atpe,VIC,Unknown,32.19535329924767,0.472919522
B4,FALSE,PBS_4,atpe,VIC,Unknown,31.21986296118051,0.8526307380738778
B5,FALSE,PBS_5,atpe,VIC,Unknown,31.354022503886313,0.7862430559849647
B6,FALSE,PBS_6,atpe,VIC,Unknown,32.36674845202165,0.42639515536907785
B7,FALSE,PBS_7,atpe,VIC,Unknown,32.61478603106434,0.3670505757288551
B8,TRUE,H2O,atpe,VIC,Negative Control,Undetermined,
B9,FALSE,DNASD_6,atpe,VIC,Standard,23.477099759315905,97.07655752
B10,FALSE,DNASD_6,atpe,VIC,Standard,22.697122360974568,97.07655752
B11,FALSE,DNASD_6,atpe,VIC,Standard,23.06997136347436,97.07655752
C1,FALSE,PBS_1,atpe,VIC,Unknown,31.721909190137048,0.6295372623081916
C2,FALSE,PBS_2,atpe,VIC,Unknown,30.76285117853204,1.1237850656350654
C3,FALSE,PBS_3,atpe,VIC,Unknown,31.580047114447837,0.6858778665688229
C4,FALSE,PBS_4,atpe,VIC,Unknown,31.311174006299225,0.806864284
C5,FALSE,PBS_5,atpe,VIC,Unknown,31.631938095576913,0.6647071107686752
C6,FALSE,PBS_6,atpe,VIC,Unknown,32.59207360824392,0.37212236086810485
C7,FALSE,PBS_7,atpe,VIC,Unknown,32.68351826721148,0.35211961068764486
C8,FALSE,H2O,atpe,VIC,Negative Control,Undetermined,
C9,FALSE,DNASD_9,atpe,VIC,Standard,27.112725666541643,6.489962981
C10,FALSE,DNASD_9,atpe,VIC,Standard,27.749215422336086,6.489962981
C11,FALSE,DNASD_9,atpe,VIC,Standard,26.628878624939787,6.489962981
D1,FALSE,IgG1_1,atpe,VIC,Unknown,30.15482670062495,1.622676866580759
D2,FALSE,IgG1_2,atpe,VIC,Unknown,32.401083594034624,0.4176404371260938
D3,FALSE,IgG1_3,atpe,VIC,Unknown,30.496395120836134,1.3200874827919002
D4,FALSE,IgG1_4,atpe,VIC,Unknown,30.64280418,1.2083262607208776
D5,FALSE,IgG1_5,atpe,VIC,Unknown,30.473725000552797,1.3382938143422043
D6,FALSE,IgG1_6,atpe,VIC,Unknown,30.533502315244924,1.2908197214986716
D7,FALSE,IgG1_7,atpe,VIC,Unknown,30.993633560227934,0.9775179879323976
D8,FALSE,IgG1_8,atpe,VIC,Unknown,31.372786438723523,0.7773794728263521
D9,FALSE,DNASD_12,atpe,VIC,Standard,33.50130617954011,0.43388044
D10,FALSE,DNASD_12,atpe,VIC,Standard,32.83105784197964,0.43388044
D11,FALSE,DNASD_12,atpe,VIC,Standard,34.330697232330365,0.43388044
E1,FALSE,IgG1_1,atpe,VIC,Unknown,30.301674016751512,1.4849045722260565
E2,FALSE,IgG1_2,atpe,VIC,Unknown,32.92065086570153,0.30511628270415675
E3,FALSE,IgG1_3,atpe,VIC,Unknown,30.386629610988443,1.4106060893425258
E4,FALSE,IgG1_4,atpe,VIC,Unknown,31.21117701073667,0.8571172268553917
E5,FALSE,IgG1_5,atpe,VIC,Unknown,30.054949947574713,1.723614840413219
E6,FALSE,IgG1_6,atpe,VIC,Unknown,29.08718848914377,3.093042373441247
E7,FALSE,IgG1_7,atpe,VIC,Unknown,30.544421533650407,1.282331563820726
