Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
G5,FALSE,AM_91224_S_7,atpe,VIC,Unknown,37.03033187843464,0.013709488260761694
G6,FALSE,AM_91224_S_7,atpe,VIC,Unknown,34.87979702694736,0.045794544
G7,FALSE,AM_91224_S_11,atpe,VIC,Unknown,Undetermined,
G8,FALSE,AM_91224_S_11,atpe,VIC,Unknown,Undetermined,
G9,FALSE,AM_91224_S_11,atpe,VIC,Unknown,34.63395461353558,0.052564442
G10,FALSE,water,atpe,VIC,Negative Control,Undetermined,
G11,FALSE,water,atpe,VIC,Negative Control,Undetermined,
G12,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H1,FALSE,AM_91224_L_8,atpe,VIC,Unknown,35.04118422220351,0.041831714
H2,FALSE,AM_91224_L_8,atpe,VIC,Unknown,34.976347496022086,0.043380798
H3,FALSE,AM_91224_L_8,atpe,VIC,Unknown,Undetermined,
H4,FALSE,AM_91224_S_8,atpe,VIC,Unknown,36.74598865958765,0.016079664
H5,FALSE,AM_91224_S_8,atpe,VIC,Unknown,34.141320891335795,0.069291476
H6,FALSE,AM_91224_S_8,atpe,VIC,Unknown,Undetermined,
H7,FALSE,AM_91224_S_12,atpe,VIC,Unknown,35.36552305135464,0.034874537
H8,FALSE,AM_91224_S_12,atpe,VIC,Unknown,Undetermined,
H9,FALSE,AM_91224_S_12,atpe,VIC,Unknown,Undetermined,
H10,TRUE,water,atpe,VIC,Negative Control,Undetermined,
H11,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H12,FALSE,water,atpe,VIC,Negative Control,Undetermined,
