Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,AM_102424_1,atpe,VIC,Unknown,Undetermined,
A2,FALSE,AM_102424_1,atpe,VIC,Unknown,Undetermined,
A3,FALSE,AM_102424_1,atpe,VIC,Unknown,Undetermined,
B4,FALSE,AM_102424_10,atpe,VIC,Unknown,33.970852467510696,0.21702290143375674
B5,FALSE,AM_102424_10,atpe,VIC,Unknown,34.90388678461245,0.13769984440608077
B6,FALSE,AM_102424_10,atpe,VIC,Unknown,33.343766976169476,0.2946404227867702
C4,FALSE,AM_102424_11,atpe,VIC,Unknown,35.36582800575269,0.10993003257029378
C5,FALSE,AM_102424_11,atpe,VIC,Unknown,36.49978291777124,0.063241018
C6,FALSE,AM_102424_11,atpe,VIC,Unknown,35.77783735946703,0.089923344
D4,FALSE,AM_102424_12,atpe,VIC,Unknown,36.18748123563836,0.073642655
D5,FALSE,AM_102424_12,atpe,VIC,Unknown,Undetermined,
D6,FALSE,AM_102424_12,atpe,VIC,Unknown,37.196690997560125,0.04502223
E4,FALSE,AM_102424_13,atpe,VIC,Unknown,33.16212035612071,0.32192626395172413
E5,FALSE,AM_102424_13,atpe,VIC,Unknown,32.85921170729398,0.37316250294706593
E6,FALSE,AM_102424_13,atpe,VIC,Unknown,33.39762209650483,0.2870042884964424
F4,FALSE,AM_102424_14,atpe,VIC,Unknown,Undetermined,
F5,FALSE,AM_102424_14,atpe,VIC,Unknown,33.14670054908051,0.32435574034227166
F6,FALSE,AM_102424_14,atpe,VIC,Unknown,Undetermined,
B1,FALSE,AM_102424_2,atpe,VIC,Unknown,Undetermined,
B2,FALSE,AM_102424_2,atpe,VIC,Unknown,Undetermined,
B3,FALSE,AM_102424_2,atpe,VIC,Unknown,Undetermined,
C1,FALSE,AM_102424_3,atpe,VIC,Unknown,29.944324297533385,1.545724051
C2,FALSE,AM_102424_3,atpe,VIC,Unknown,30.599267998282492,1.123171726206288
C3,FALSE,AM_102424_3,atpe,VIC,Unknown,30.169981748119717,1.3846770420619803
D1,FALSE,AM_102424_4,atpe,VIC,Unknown,33.98995901858417,0.2150105203334306
D2,FALSE,AM_102424_4,atpe,VIC,Unknown,34.67527307654005,0.1539369638457074
D3,FALSE,AM_102424_4,atpe,VIC,Unknown,35.097552376418705,0.12529228357098735
E1,FALSE,AM_102424_5,atpe,VIC,Unknown,33.51755226309203,0.27070289700782696
E2,FALSE,AM_102424_5,atpe,VIC,Unknown,35.357442617112056,0.11038040457783045
E3,FALSE,AM_102424_5,atpe,VIC,Unknown,33.12513966670615,0.3277835494094446
F1,FALSE,AM_102424_6,atpe,VIC,Unknown,35.647588180423895,0.095819303
F2,FALSE,AM_102424_6,atpe,VIC,Unknown,33.80182981148859,0.23566576262063907
F3,FALSE,AM_102424_6,atpe,VIC,Unknown,33.205844211823276,0.315135831
G1,FALSE,AM_102424_7,atpe,VIC,Unknown,35.84173562528173,0.087164942
G2,FALSE,AM_102424_7,atpe,VIC,Unknown,34.91485572217799,0.1369653628319872
G3,FALSE,AM_102424_7,atpe,VIC,Unknown,36.52171551885937,0.062568332
H1,FALSE,AM_102424_8,atpe,VIC,Unknown,32.47113673200248,0.45089326317348144
H2,FALSE,AM_102424_8,atpe,VIC,Unknown,33.306917351314155,0.2999820854631693
H3,FALSE,AM_102424_8,atpe,VIC,Unknown,32.615643739374974,0.42021743025190933
A4,FALSE,AM_102424_9,atpe,VIC,Unknown,Undetermined,
A5,FALSE,AM_102424_9,atpe,VIC,Unknown,36.29849760021446,0.069762409
A6,FALSE,AM_102424_9,atpe,VIC,Unknown,35.47428927421329,0.10426761484346476
D10,FALSE,DNA_13,atpe,VIC,Standard,38,0.176094594
D11,FALSE,DNA_13,atpe,VIC,Standard,Undetermined,0.176094594
D12,FALSE,DNA_13,atpe,VIC,Standard,34.141398225150766,0.176094594
E10,FALSE,DNA_15,atpe,VIC,Standard,36.42292090340419,0.029006673
E11,FALSE,DNA_15,atpe,VIC,Standard,Undetermined,0.029006673
E12,FALSE,DNA_15,atpe,VIC,Standard,Undetermined,0.029006673
A10,FALSE,DNA_4,atpe,VIC,Standard,18.383232659950657,589.3353141
A11,FALSE,DNA_4,atpe,VIC,Standard,17.956378542605478,589.3353141
A12,FALSE,DNA_4,atpe,VIC,Standard,18.66315007125317,589.3353141
B10,FALSE,DNA_6,atpe,VIC,Standard,20.95297002560342,97.07655752
B11,FALSE,DNA_6,atpe,VIC,Standard,20.910535880657605,97.07655752
B12,FALSE,DNA_6,atpe,VIC,Standard,20.702388857048064,97.07655752
C10,FALSE,DNA_9,atpe,VIC,Standard,26.317267251542724,6.489962981
C11,FALSE,DNA_9,atpe,VIC,Standard,26.64206517149956,6.489962981
C12,FALSE,DNA_9,atpe,VIC,Standard,26.432469800401876,6.489962981
F10,FALSE,water,atpe,VIC,Negative Control,Undetermined,
F11,FALSE,water,atpe,VIC,Negative Control,Undetermined,
F12,FALSE,water,atpe,VIC,Negative Control,Undetermined,
G10,FALSE,water,atpe,VIC,Negative Control,Undetermined,
G11,FALSE,water,atpe,VIC,Negative Control,Undetermined,
G12,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H7,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H8,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H10,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H12,FALSE,water,atpe,VIC,Negative Control,Undetermined,
